DATE,LATITUDE,LONGITUDE,PRCP,TMAX,TMIN,TAVG
2024/5/28,23.744,121.457,41,319,217,268
2024/5/29,23.744,121.457,20,264,238,255
2024/5/30,23.744,121.457,0,273,239,256
2024/5/31,23.744,121.457,193,296,245,271
2024/6/1,23.744,121.457,254,300,242,264
2024/6/2,23.744,121.457,264,334,246,280
2024/6/3,23.744,121.457,5,268,240,254
2024/6/4,23.744,121.457,465,266,230,248
2024/6/5,23.744,121.457,236,280,228,254
2024/6/6,23.744,121.457,46,283,244,264
2024/6/7,23.744,121.457,0,274,244,259
2024/6/8,23.744,121.457,800,294,244,269
2024/6/9,23.744,121.457,79,282,245,269
2024/6/10,23.744,121.457,46,303,258,283
2024/6/11,23.744,121.457,51,290,265,284
2024/6/12,23.744,121.457,28,285,270,290
2024/6/13,23.744,121.457,239,300,279,296
2024/6/14,23.744,121.457,0,290,250,286
2024/6/15,23.744,121.457,307,299,239,269
2024/6/16,23.744,121.457,229,300,238,286
2024/6/17,23.744,121.457,23,315,273,294
2024/6/18,23.744,121.457,0,309,275,292
2024/6/19,23.744,121.457,10,310,276,297
2024/6/20,23.744,121.457,25,318,274,297
2024/6/21,23.744,121.457,28,320,275,302
2024/6/22,23.744,121.457,0,329,267,298
2024/6/23,23.744,121.457,117,334,261,298
2024/6/24,23.744,121.457,66,323,267,295
2024/6/25,23.744,121.457,15,318,254,286
2024/6/26,23.744,121.457,102,316,251,293
2024/6/27,23.744,121.457,0,327,269,297
2024/6/28,23.744,121.457,0,323,275,300
2024/6/29,23.744,121.457,3,329,273,301
2024/6/30,23.744,121.457,69,328,274,301
2024/7/1,23.744,121.457,3,313,285,299
2024/7/2,23.744,121.457,0,312,280,296
2024/7/3,23.744,121.457,13,319,277,298
2024/7/4,23.744,121.457,135,339,257,298
2024/7/5,23.744,121.457,0,327,277,302
2024/7/6,23.744,121.457,51,326,255,303
2024/7/7,23.744,121.457,10,324,275,302
2024/7/8,23.744,121.457,23,326,280,303
2024/7/9,23.744,121.457,3,326,269,306
2024/7/10,23.744,121.457,0,334,278,303
2024/7/11,23.744,121.457,0,320,276,303
2024/7/12,23.744,121.457,0,335,279,307
2024/7/13,23.744,121.457,0,332,284,307
2024/7/14,23.744,121.457,0,330,280,305
2024/7/15,23.744,121.457,180,352,270,306
2024/7/16,23.744,121.457,71,330,258,294
2024/7/17,23.744,121.457,89,349,245,297
2024/7/18,23.744,121.457,61,314,260,285
2024/7/19,23.744,121.457,198,310,270,298
2024/7/20,23.744,121.457,3,326,280,303
2024/7/21,23.744,121.457,25,317,277,297
2024/7/22,23.744,121.457,23,303,275,289
2024/7/23,23.744,121.457,173,328,274,301
2024/7/24,23.744,121.457,3,324,275,306
2024/7/25,23.744,121.457,0,347,285,316
2024/7/26,23.744,121.457,0,314,280,297
2024/7/27,23.744,121.457,0,308,276,292
2024/7/28,23.744,121.457,58,281,273,277
2024/7/29,23.744,121.457,160,294,250,272
2024/7/30,23.744,121.457,229,291,251,271
2024/7/31,23.744,121.457,183,323,249,286
2024/8/1,23.744,121.457,79,320,276,298
2024/8/2,23.744,121.457,15,324,274,299
2024/8/3,23.744,121.457,5,322,277,301
2024/8/4,23.744,121.457,0,346,266,308
2024/8/5,23.744,121.457,0,354,286,316
2024/8/6,23.744,121.457,0,345,267,306
2024/8/7,23.744,121.457,0,336,281,304
2024/8/8,23.744,121.457,15,340,264,302
2024/8/9,23.744,121.457,0,329,277,303
2024/8/10,23.744,121.457,0,321,282,303
2024/8/11,23.744,121.457,0,326,282,304
2024/8/13,23.744,121.457,38,321,251,289
2024/8/14,23.744,121.457,163,311,263,287
2024/8/15,23.744,121.457,178,274,258,266
2024/8/16,23.744,121.457,909,293,255,274
2024/8/17,23.744,121.457,1626,324,240,282
2024/8/18,23.744,121.457,356,304,251,287
2024/8/19,23.744,121.457,23,299,259,279
2024/8/20,23.744,121.457,0,281,271,276
2024/8/21,23.744,121.457,15,286,259,271
